Category Level 1,Category Level 2,Category Level 3,Barserial,Name,Quantity,Retail,Cost,VAT,Net,Total Margin,Margin %
Jewellery & Watches,Rings,Other,BBTX69BHKMZ2O,1.2g Gold Ring,-1,-£44.99,-£20.00,-£4.16,-£40.82,-£20.83,51.01%
Jewellery & Watches,Rings,Other,BBTXMKWRHKO7B,Gucci Ring,1,£74.99,£35.00,£6.66,£68.32,£33.32,48.77%
Jewellery & Watches,Rings,Other,BBTXIEBYHGPSF,4.78g 9CT ring,1,£129.99,£50.00,£13.33,£116.66,£66.66,57.14%
Jewellery & Watches,Rings,Other,BBTXIZPWDVJER,14k Gold Ring 2.6g,-1,-£60.00,-£40.00,-£3.33,-£56.67,-£16.67,29.41%
Jewellery & Watches,Rings,Other,BBTXAEFF9D8BE,9k Gold ring,2,£239.98,£90.00,£25.00,£214.98,£124.98,58.14%
Jewellery & Watches,Rings,Other,BBTXDE2459D38,18ct Ring,1,£159.99,£80.00,£13.33,£146.66,£66.66,45.45%
Jewellery & Watches,Rings,Other,BBTXE2CD4AF0E,9ct Pearl ring tested,2,£159.98,£70.00,£15.00,£144.98,£74.98,51.72%
Jewellery & Watches,Rings,Other,BBTX719ADE655,9ct Tested twist white stone ring,2,£119.98,£50.00,£11.66,£108.32,£58.32,53.84%
Jewellery & Watches,Rings,Other,BBTX34348048B,2 9ct Rings With Stone,2,£299.98,£100.00,£33.33,£266.65,£166.65,62.50%
Jewellery & Watches,Rings,Other,BBTX047A110F8,9k Gold Ring,2,£119.98,£58.00,£10.33,£109.65,£51.65,47.10%
